                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3063,                0.86256,                 1.2712,                0.85608,                0.80057,                0.83187,                0.35013,                 2.0084,                0.92343,                 1.5733,               0.002575,               0.002575,               0.002575
                     77,                 1.2982,                0.86093,                  1.264,                0.85901,                0.78977,                0.82995,                0.35174,                 2.0026,                0.92129,                 1.5651,               0.002476,               0.002476,               0.002476
                     78,                 1.2886,                0.84488,                 1.2644,                0.84246,                0.79422,                0.82264,                0.34955,                 2.0039,                0.92191,                 1.5717,               0.002377,               0.002377,               0.002377
                     79,                 1.2785,                0.82947,                 1.2546,                0.84609,                0.79199,                0.82054,                0.34589,                  2.027,                 0.9189,                 1.5865,               0.002278,               0.002278,               0.002278
                     80,                 1.2799,                0.84342,                 1.2532,                0.84315,                0.78331,                0.82129,                0.34454,                 2.0134,                0.91345,                 1.5768,               0.002179,               0.002179,               0.002179
                     81,                 1.2644,                0.81519,                 1.2468,                0.84122,                0.78754,                0.82135,                0.34791,                 2.0067,                0.90891,                 1.5686,                0.00208,                0.00208,                0.00208
                     82,                 1.2567,                0.81878,                 1.2469,                0.84286,                0.79952,                0.81735,                0.34813,                 2.0155,                0.90598,                 1.5786,               0.001981,               0.001981,               0.001981
                     83,                 1.2396,                0.79976,                 1.2349,                 0.8527,                0.79846,                0.81355,                0.34371,                 2.0179,                0.90044,                 1.5759,               0.001882,               0.001882,               0.001882
                     84,                 1.2426,                0.80883,                 1.2346,                0.86234,                 0.7931,                0.81109,                0.34698,                  2.002,                0.89601,                 1.5654,               0.001783,               0.001783,               0.001783
                     85,                 1.2295,                0.78658,                 1.2261,                 0.8549,                0.78977,                0.80902,                0.34537,                 2.0014,                0.89593,                 1.5628,               0.001684,               0.001684,               0.001684
                     86,                 1.2202,                0.78297,                 1.2236,                0.84292,                0.78754,                0.80759,                0.34488,                 1.9992,                0.89376,                 1.5651,               0.001585,               0.001585,               0.001585
                     87,                 1.2111,                0.78314,                  1.224,                0.84726,                0.78981,                0.81389,                0.34681,                 2.0073,                 0.8963,                 1.5663,               0.001486,               0.001486,               0.001486
                     88,                 1.2049,                0.76439,                 1.2126,                0.84675,                0.79899,                0.81613,                0.34702,                 2.0127,                0.89467,                 1.5732,               0.001387,               0.001387,               0.001387
                     89,                 1.1939,                0.76911,                 1.2106,                0.84288,                0.79533,                0.81179,                0.34304,                 2.0099,                0.89259,                 1.5755,               0.001288,               0.001288,               0.001288
                     90,                 1.1932,                0.77361,                 1.2127,                0.85477,                0.79218,                0.81583,                0.34494,                 2.0112,                0.89454,                 1.5727,               0.001189,               0.001189,               0.001189
                     91,                 1.1764,                0.56831,                 1.1906,                0.84459,                0.79793,                0.81254,                0.34476,                 2.0097,                0.89959,                 1.5675,                0.00109,                0.00109,                0.00109
                     92,                 1.1223,                0.54225,                 1.1583,                0.84879,                0.79978,                0.81616,                0.34633,                 2.0066,                0.89296,                 1.5661,               0.000991,               0.000991,               0.000991
                     93,                 1.1053,                0.53159,                 1.1482,                0.85471,                0.78527,                0.80906,                0.34615,                 2.0085,                0.88765,                 1.5682,               0.000892,               0.000892,               0.000892
                     94,                 1.0967,                0.53077,                 1.1432,                0.86184,                0.78409,                0.80949,                0.34799,                 2.0077,                0.88648,                 1.5673,               0.000793,               0.000793,               0.000793
                     95,                 1.0847,                0.51701,                 1.1363,                0.86273,                0.78643,                0.80891,                 0.3494,                 2.0053,                0.88672,                  1.568,               0.000694,               0.000694,               0.000694
                     96,                 1.0714,                 0.5157,                 1.1285,                0.86925,                0.79088,                0.81631,                0.35093,                 2.0046,                0.88747,                 1.5698,               0.000595,               0.000595,               0.000595
                     97,                 1.0506,                0.50187,                 1.1197,                0.87283,                0.79401,                0.81843,                0.35145,                 2.0068,                0.88801,                 1.5736,               0.000496,               0.000496,               0.000496
                     98,                 1.0428,                0.49843,                 1.1121,                0.88004,                 0.7931,                0.81881,                0.35106,                 2.0089,                0.88708,                 1.5789,               0.000397,               0.000397,               0.000397
                     99,                 1.0428,                0.49557,                 1.1119,                0.87453,                 0.7931,                0.81445,                 0.3511,                 2.0092,                0.88854,                 1.5816,               0.000298,               0.000298,               0.000298
                    100,                 1.0294,                0.49238,                 1.1047,                0.87038,                0.79176,                0.81216,                0.35007,                 2.0111,                0.88907,                 1.5849,               0.000199,               0.000199,               0.000199
