                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.94037,                0.57475,                 1.0464,                0.92794,                0.83603,                0.90859,                0.62403,                0.97541,                0.49054,                 1.0143,               0.003763,               0.003763,               0.003763
                     65,                0.94079,                0.57372,                 1.0485,                0.93072,                 0.8362,                0.91069,                0.62545,                0.97387,                0.48418,                 1.0137,               0.003664,               0.003664,               0.003664
                     66,                0.93419,                0.56825,                 1.0444,                0.92328,                0.84195,                 0.9097,                0.62579,                0.97433,                0.48359,                 1.0135,               0.003565,               0.003565,               0.003565
                     67,                 0.9337,                0.56956,                 1.0457,                0.92738,                0.83953,                0.91033,                0.62723,                0.96879,                0.48048,                 1.0113,               0.003466,               0.003466,               0.003466
                     68,                0.93243,                0.57001,                  1.043,                0.92862,                0.83944,                0.91064,                0.62833,                 0.9691,                0.48144,                 1.0118,               0.003367,               0.003367,               0.003367
                     69,                0.92491,                0.56457,                 1.0438,                0.92884,                0.83814,                0.91125,                0.62904,                0.96647,                0.47966,                 1.0118,               0.003268,               0.003268,               0.003268
                     70,                0.91877,                0.55598,                 1.0377,                0.92484,                0.84257,                0.91137,                0.62879,                0.96649,                0.48078,                 1.0109,               0.003169,               0.003169,               0.003169
                     71,                0.92121,                0.55821,                 1.0399,                0.92688,                0.84168,                0.91126,                0.62947,                0.96679,                0.47807,                 1.0089,                0.00307,                0.00307,                0.00307
                     72,                 0.9166,                0.55683,                 1.0373,                0.93301,                0.83813,                0.91244,                0.63055,                0.96369,                0.47646,                 1.0089,               0.002971,               0.002971,               0.002971
                     73,                0.91307,                0.55417,                 1.0374,                0.92647,                0.84183,                0.91203,                 0.6304,                 0.9632,                0.47532,                 1.0097,               0.002872,               0.002872,               0.002872
                     74,                0.91449,                0.55419,                 1.0366,                0.93036,                0.84094,                0.91222,                0.63075,                0.96136,                0.47583,                 1.0092,               0.002773,               0.002773,               0.002773
                     75,                 0.9046,                0.54576,                 1.0336,                0.93104,                0.84104,                0.91307,                0.63122,                0.96153,                0.47295,                 1.0088,               0.002674,               0.002674,               0.002674
                     76,                0.91055,                0.54764,                 1.0338,                0.92799,                0.84483,                0.91279,                0.63167,                0.95858,                0.47168,                 1.0086,               0.002575,               0.002575,               0.002575
                     77,                0.90125,                0.54151,                 1.0293,                 0.9274,                0.84842,                0.91492,                0.63342,                0.95954,                0.47034,                 1.0085,               0.002476,               0.002476,               0.002476
                     78,                0.90252,                0.54145,                 1.0306,                0.93425,                0.84524,                0.91513,                0.63437,                0.95832,                0.46826,                 1.0072,               0.002377,               0.002377,               0.002377
                     79,                0.89642,                0.53741,                 1.0292,                0.92666,                0.84902,                0.91454,                0.63391,                0.95981,                0.46971,                  1.009,               0.002278,               0.002278,               0.002278
                     80,                0.89373,                0.53391,                 1.0257,                0.93364,                0.84312,                0.91465,                0.63388,                0.96118,                0.46584,                 1.0121,               0.002179,               0.002179,               0.002179
                     81,                0.89131,                0.53096,                 1.0271,                0.93128,                0.84533,                0.91561,                0.63443,                 0.9622,                0.46646,                 1.0125,                0.00208,                0.00208,                0.00208
                     82,                0.87997,                0.52588,                 1.0231,                  0.935,                0.84215,                 0.9155,                0.63451,                0.96236,                0.46705,                 1.0127,               0.001981,               0.001981,               0.001981
                     83,                0.88861,                0.53027,                 1.0271,                0.93253,                0.84432,                0.91509,                0.63523,                0.96086,                0.46693,                  1.011,               0.001882,               0.001882,               0.001882
                     84,                0.88348,                0.52116,                 1.0205,                0.92854,                0.84768,                0.91611,                0.63488,                0.96282,                0.46709,                 1.0117,               0.001783,               0.001783,               0.001783
                     85,                0.87598,                0.52073,                 1.0221,                0.92334,                0.85177,                0.91604,                0.63492,                0.96143,                0.46628,                  1.012,               0.001684,               0.001684,               0.001684
                     86,                 0.8728,                0.52249,                 1.0204,                 0.9282,                0.84862,                0.91692,                0.63534,                0.96109,                 0.4676,                 1.0125,               0.001585,               0.001585,               0.001585
                     87,                0.87207,                0.51697,                 1.0203,                0.93506,                0.84504,                0.91691,                0.63592,                 0.9606,                0.46383,                 1.0126,               0.001486,               0.001486,               0.001486
                     88,                0.87137,                 0.5159,                 1.0174,                0.93251,                 0.8463,                0.91653,                0.63614,                0.95969,                0.46258,                 1.0121,               0.001387,               0.001387,               0.001387
                     89,                0.86638,                0.51455,                  1.015,                0.93018,                0.84885,                0.91652,                0.63599,                0.95851,                0.46269,                 1.0127,               0.001288,               0.001288,               0.001288
                     90,                0.86713,                0.51229,                 1.0191,                0.92937,                0.84996,                0.91612,                0.63581,                0.95938,                0.46179,                 1.0138,               0.001189,               0.001189,               0.001189
                     91,                  0.833,                0.42269,                0.95932,                0.92936,                0.85193,                0.91728,                0.63631,                0.95889,                0.46127,                 1.0147,                0.00109,                0.00109,                0.00109
                     92,                0.82549,                0.41542,                0.95466,                 0.9291,                0.85163,                0.91684,                0.63564,                0.95864,                0.46256,                 1.0147,               0.000991,               0.000991,               0.000991
                     93,                0.81667,                 0.4097,                 0.9511,                0.92944,                0.85125,                0.91653,                0.63538,                0.95846,                0.46232,                 1.0144,               0.000892,               0.000892,               0.000892
                     94,                0.81202,                0.40685,                0.94992,                0.93178,                0.84958,                0.91674,                0.63572,                0.95894,                0.46212,                 1.0153,               0.000793,               0.000793,               0.000793
                     95,                0.81117,                0.40384,                0.94905,                0.92711,                0.85109,                0.91634,                0.63567,                0.95861,                0.46207,                 1.0155,               0.000694,               0.000694,               0.000694
                     96,                  0.805,                0.40175,                0.94547,                0.92855,                 0.8513,                0.91691,                0.63601,                0.95868,                0.46117,                 1.0149,               0.000595,               0.000595,               0.000595
                     97,                0.80258,                0.39648,                0.94329,                0.92887,                0.85142,                0.91665,                 0.6361,                0.95897,                0.46134,                 1.0155,               0.000496,               0.000496,               0.000496
                     98,                0.79705,                0.39435,                 0.9429,                0.92772,                0.85101,                0.91648,                0.63609,                0.95881,                0.46116,                 1.0157,               0.000397,               0.000397,               0.000397
                     99,                0.79364,                0.39312,                0.93962,                0.92756,                 0.8522,                 0.9165,                0.63581,                0.95798,                0.46159,                 1.0156,               0.000298,               0.000298,               0.000298
                    100,                 0.7934,                 0.3909,                0.94051,                0.92749,                0.85332,                0.91675,                0.63589,                0.95818,                0.46235,                 1.0153,               0.000199,               0.000199,               0.000199
